Data,Period,Organisation unit,Value,Numerator,Denominator,Factor,Multiplier,Divisor
MAL - Malaria cases tested (total),March 2024,01 Vientiane Capital,83.0,83.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,02 Phongsali,221.0,221.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,03 Louangnamtha,92.0,92.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,04 Oudomxai,181.0,181.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,05 Bokeo,91.0,91.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,06 Louangphabang,530.0,530.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,07 Houaphan,203.0,203.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,08 Xainyabouli,268.0,268.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,09 Xiangkhouang,148.0,148.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,10 Vientiane,220.0,220.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,11 Bolikhamxai,114.0,114.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,12 Khammouan,586.0,586.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,13 Savannakhet,1976.0,1976.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,14 Salavan,1830.0,1830.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,15 Xekong,953.0,953.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,16 Champasak,2875.0,2875.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,17 Attapu,1388.0,1388.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,18 Xaisomboun,78.0,78.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,Lao PDR,11327.0,11327.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,01 Vientiane Capital,91.0,91.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,02 Phongsali,316.0,316.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,03 Louangnamtha,84.0,84.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,04 Oudomxai,186.0,186.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,05 Bokeo,102.0,102.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,06 Louangphabang,385.0,385.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,07 Houaphan,185.0,185.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,08 Xainyabouli,287.0,287.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,09 Xiangkhouang,150.0,150.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,10 Vientiane,180.0,180.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,11 Bolikhamxai,100.0,100.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,12 Khammouan,539.0,539.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,13 Savannakhet,2021.0,2021.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,14 Salavan,1757.0,1757.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,15 Xekong,978.0,978.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,16 Champasak,2873.0,2873.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,17 Attapu,1013.0,1013.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),April 2024,18 Xaisomboun,80.0,80.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,Lao PDR,13109.0,13109.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,01 Vientiane Capital,132.0,132.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,02 Phongsali,339.0,339.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,03 Louangnamtha,118.0,118.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,04 Oudomxai,224.0,224.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,05 Bokeo,83.0,83.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,06 Louangphabang,441.0,441.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,07 Houaphan,203.0,203.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,08 Xainyabouli,338.0,338.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,09 Xiangkhouang,174.0,174.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,10 Vientiane,281.0,281.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,11 Bolikhamxai,135.0,135.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,12 Khammouan,710.0,710.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,13 Savannakhet,2023.0,2023.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,14 Salavan,2386.0,2386.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,15 Xekong,1007.0,1007.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,16 Champasak,3059.0,3059.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,17 Attapu,1377.0,1377.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),May 2024,18 Xaisomboun,79.0,79.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,Lao PDR,15736.0,15736.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,01 Vientiane Capital,74.0,74.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,02 Phongsali,330.0,330.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,03 Louangnamtha,115.0,115.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,04 Oudomxai,172.0,172.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,05 Bokeo,129.0,129.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,06 Louangphabang,884.0,884.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,07 Houaphan,229.0,229.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,08 Xainyabouli,414.0,414.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,09 Xiangkhouang,167.0,167.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,10 Vientiane,305.0,305.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,11 Bolikhamxai,155.0,155.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,12 Khammouan,826.0,826.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,13 Savannakhet,2409.0,2409.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,14 Salavan,3134.0,3134.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,15 Xekong,1263.0,1263.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,16 Champasak,3556.0,3556.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,17 Attapu,1495.0,1495.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),June 2024,18 Xaisomboun,79.0,79.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,Lao PDR,16603.0,16603.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,01 Vientiane Capital,109.0,109.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,02 Phongsali,342.0,342.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,03 Louangnamtha,208.0,208.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,04 Oudomxai,221.0,221.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,05 Bokeo,182.0,182.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,06 Louangphabang,605.0,605.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,07 Houaphan,271.0,271.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,08 Xainyabouli,493.0,493.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,09 Xiangkhouang,193.0,193.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,10 Vientiane,313.0,313.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,11 Bolikhamxai,209.0,209.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,12 Khammouan,847.0,847.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,13 Savannakhet,2900.0,2900.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,14 Salavan,3151.0,3151.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,15 Xekong,1493.0,1493.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,16 Champasak,3252.0,3252.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,17 Attapu,1725.0,1725.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),July 2024,18 Xaisomboun,89.0,89.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,Lao PDR,19243.0,19243.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,01 Vientiane Capital,150.0,150.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,02 Phongsali,357.0,357.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,03 Louangnamtha,200.0,200.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,04 Oudomxai,349.0,349.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,05 Bokeo,134.0,134.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,06 Louangphabang,741.0,741.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,07 Houaphan,284.0,284.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,08 Xainyabouli,533.0,533.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,09 Xiangkhouang,166.0,166.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,10 Vientiane,265.0,265.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,11 Bolikhamxai,231.0,231.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,12 Khammouan,1012.0,1012.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,13 Savannakhet,4517.0,4517.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,14 Salavan,3177.0,3177.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,15 Xekong,1416.0,1416.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,16 Champasak,3840.0,3840.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,17 Attapu,1792.0,1792.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),August 2024,18 Xaisomboun,79.0,79.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,Lao PDR,19776.0,19776.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,01 Vientiane Capital,185.0,185.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,02 Phongsali,333.0,333.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,03 Louangnamtha,133.0,133.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,04 Oudomxai,257.0,257.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,05 Bokeo,67.0,67.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,06 Louangphabang,728.0,728.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,07 Houaphan,229.0,229.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,08 Xainyabouli,573.0,573.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,09 Xiangkhouang,218.0,218.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,10 Vientiane,284.0,284.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,11 Bolikhamxai,175.0,175.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,12 Khammouan,834.0,834.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,13 Savannakhet,3657.0,3657.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,14 Salavan,3178.0,3178.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,15 Xekong,1478.0,1478.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,16 Champasak,5123.0,5123.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,17 Attapu,2240.0,2240.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),September 2024,18 Xaisomboun,84.0,84.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,Lao PDR,17340.0,17340.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,01 Vientiane Capital,219.0,219.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,02 Phongsali,330.0,330.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,03 Louangnamtha,159.0,159.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,04 Oudomxai,271.0,271.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,05 Bokeo,59.0,59.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,06 Louangphabang,652.0,652.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,07 Houaphan,206.0,206.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,08 Xainyabouli,439.0,439.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,09 Xiangkhouang,195.0,195.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,10 Vientiane,217.0,217.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,11 Bolikhamxai,170.0,170.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,12 Khammouan,578.0,578.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,13 Savannakhet,3048.0,3048.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,14 Salavan,2788.0,2788.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,15 Xekong,1248.0,1248.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,16 Champasak,4291.0,4291.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,17 Attapu,2373.0,2373.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),October 2024,18 Xaisomboun,97.0,97.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,Lao PDR,14823.0,14823.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,01 Vientiane Capital,178.0,178.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,02 Phongsali,374.0,374.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,03 Louangnamtha,121.0,121.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,04 Oudomxai,251.0,251.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,05 Bokeo,45.0,45.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,06 Louangphabang,418.0,418.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,07 Houaphan,221.0,221.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,08 Xainyabouli,1176.0,1176.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,09 Xiangkhouang,204.0,204.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,10 Vientiane,244.0,244.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,11 Bolikhamxai,160.0,160.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,12 Khammouan,477.0,477.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,13 Savannakhet,2896.0,2896.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,14 Salavan,1784.0,1784.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,15 Xekong,1032.0,1032.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,16 Champasak,3485.0,3485.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,17 Attapu,1638.0,1638.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),November 2024,18 Xaisomboun,119.0,119.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,Lao PDR,12209.0,12209.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,01 Vientiane Capital,140.0,140.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,02 Phongsali,467.0,467.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,03 Louangnamtha,143.0,143.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,04 Oudomxai,193.0,193.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,05 Bokeo,15.0,15.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,06 Louangphabang,408.0,408.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,07 Houaphan,218.0,218.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,08 Xainyabouli,487.0,487.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,09 Xiangkhouang,218.0,218.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,10 Vientiane,221.0,221.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,11 Bolikhamxai,123.0,123.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,12 Khammouan,414.0,414.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,13 Savannakhet,1929.0,1929.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,14 Salavan,1727.0,1727.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,15 Xekong,920.0,920.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,16 Champasak,3355.0,3355.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,17 Attapu,1117.0,1117.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),December 2024,18 Xaisomboun,114.0,114.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,Lao PDR,969.0,969.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,01 Vientiane Capital,12.0,12.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,02 Phongsali,16.0,16.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,03 Louangnamtha,1.0,1.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,06 Louangphabang,42.0,42.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,07 Houaphan,92.0,92.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,08 Xainyabouli,12.0,12.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,10 Vientiane,13.0,13.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,11 Bolikhamxai,35.0,35.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,12 Khammouan,8.0,8.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,13 Savannakhet,160.0,160.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,14 Salavan,181.0,181.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,15 Xekong,131.0,131.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,16 Champasak,180.0,180.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,17 Attapu,67.0,67.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),January 2024,18 Xaisomboun,19.0,19.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,Lao PDR,839.0,839.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,01 Vientiane Capital,14.0,14.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,02 Phongsali,26.0,26.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,06 Louangphabang,21.0,21.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,07 Houaphan,97.0,97.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,08 Xainyabouli,20.0,20.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,10 Vientiane,9.0,9.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,11 Bolikhamxai,30.0,30.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,12 Khammouan,2.0,2.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,13 Savannakhet,122.0,122.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,14 Salavan,109.0,109.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,15 Xekong,144.0,144.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,16 Champasak,165.0,165.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,17 Attapu,56.0,56.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),February 2024,18 Xaisomboun,24.0,24.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,Lao PDR,827.0,827.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,01 Vientiane Capital,24.0,24.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,02 Phongsali,30.0,30.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,04 Oudomxai,0.0,0.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,05 Bokeo,50.0,50.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,06 Louangphabang,19.0,19.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,07 Houaphan,73.0,73.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,08 Xainyabouli,17.0,17.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,10 Vientiane,15.0,15.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,11 Bolikhamxai,30.0,30.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,12 Khammouan,5.0,5.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,13 Savannakhet,156.0,156.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,14 Salavan,86.0,86.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,15 Xekong,99.0,99.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,16 Champasak,165.0,165.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,17 Attapu,38.0,38.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),March 2024,18 Xaisomboun,20.0,20.0,1.0,1.0,1,1
